Кластер,Тип_кластера_района,Порядковый_номер_в_кластере,Населенный_пункт,Плотность_населения,Отклонение_плотности_%,Зарплата,Отклонение_зарплаты_%,Население,Соотношение_М_Ж,Средняя_плотность,Класс_плотности,Средняя_зарплата,Класс_зарплаты,Тип_кластера_кластера
0,МАССОВЫЕ РАЙОНЫ,1,Выборгский район,4620.91,-28.234264323896884,131990,-0.5818661143018549,533808,0.812,7193.576666666668,ВЫСОКАЯ,122814.83333333333,СРЕДНЯЯ,МАССОВЫЕ РАЙОНЫ
0,МАССОВЫЕ РАЙОНЫ,2,Кировский район,7162.79,11.242784179617145,129717,-2.2939459561246585,339946,0.837,7193.576666666668,ВЫСОКАЯ,122814.83333333333,СРЕДНЯЯ,МАССОВЫЕ РАЙОНЫ
0,МАССОВЫЕ РАЙОНЫ,3,Красногвардейский район,6554.52,1.7959557324707573,126337,-4.839845588927597,369347,0.795,7193.576666666668,ВЫСОКАЯ,122814.83333333333,СРЕДНЯЯ,МАССОВЫЕ РАЙОНЫ
0,МАССОВЫЕ РАЙОНЫ,4,Красносельский район,4711.81,-26.82252824313404,108531,-18.25176537049242,426372,0.804,7193.576666666668,ВЫСОКАЯ,122814.83333333333,СРЕДНЯЯ,МАССОВЫЕ РАЙОНЫ
0,МАССОВЫЕ РАЙОНЫ,5,Невский район,9008.82,39.912829913067185,120834,-8.984841352038414,546475,0.818,7193.576666666668,ВЫСОКАЯ,122814.83333333333,СРЕДНЯЯ,МАССОВЫЕ РАЙОНЫ
0,МАССОВЫЕ РАЙОНЫ,6,Фрунзенский район,11102.61,72.43074947896827,119480,-10.004707654646456,416570,0.796,7193.576666666668,ВЫСОКАЯ,122814.83333333333,СРЕДНЯЯ,МАССОВЫЕ РАЙОНЫ
1,СМЕШАННЫЙ ТИП,1,Колпинский район,1798.99,-72.06051604035726,125218,-5.682704076828924,183947,0.817,1339.4759999999999,НИЗКАЯ,116005.0,СРЕДНЯЯ,СМЕШАННЫЙ ТИП
1,СМЕШАННЫЙ ТИП,2,Кронштадтский район,2273.37,-64.69308631546978,108831,-18.025797947462575,44399,0.895,1339.4759999999999,НИЗКАЯ,116005.0,СРЕДНЯЯ,СМЕШАННЫЙ ТИП
1,СМЕШАННЫЙ ТИП,3,Курортный район,308.41,-95.21019224787608,118117,-11.03135297994539,82713,0.887,1339.4759999999999,НИЗКАЯ,116005.0,СРЕДНЯЯ,СМЕШАННЫЙ ТИП
1,СМЕШАННЫЙ ТИП,4,Петродворцовый район,1251.57,-80.5623044378401,117752,-11.306280011298371,134018,0.876,1339.4759999999999,НИЗКАЯ,116005.0,СРЕДНЯЯ,СМЕШАННЫЙ ТИП
1,СМЕШАННЫЙ ТИП,5,Пушкинский район,1065.04,-83.45923657364527,110107,-17.064683174842294,255609,0.878,1339.4759999999999,НИЗКАЯ,116005.0,СРЕДНЯЯ,СМЕШАННЫЙ ТИП
2,ПРИОРИТЕТНЫЕ РАЙОНЫ,1,Адмиралтейский район,11451.01,77.84162792272812,134590,1.376518218623482,158253,0.828,12273.507500000002,ОЧЕНЬ ВЫСОКАЯ,147188.25,ВЫШЕ СРЕДНЕЙ,ПРИОРИТЕТНЫЕ РАЙОНЫ
2,ПРИОРИТЕТНЫЕ РАЙОНЫ,2,Василеостровский район,12558.86,95.04725847358733,148492,11.84784860182657,209733,0.816,12273.507500000002,ОЧЕНЬ ВЫСОКАЯ,147188.25,ВЫШЕ СРЕДНЕЙ,ПРИОРИТЕТНЫЕ РАЙОНЫ
2,ПРИОРИТЕТНЫЕ РАЙОНЫ,3,Калининский район,13611.45,111.39466530802243,145695,9.741078994444967,546908,0.813,12273.507500000002,ОЧЕНЬ ВЫСОКАЯ,147188.25,ВЫШЕ СРЕДНЕЙ,ПРИОРИТЕТНЫЕ РАЙОНЫ
2,ПРИОРИТЕТНЫЕ РАЙОНЫ,4,Центральный район,11472.71,78.17864302671659,159976,20.497881555409094,203870,0.809,12273.507500000002,ОЧЕНЬ ВЫСОКАЯ,147188.25,ВЫШЕ СРЕДНЕЙ,ПРИОРИТЕТНЫЕ РАЙОНЫ
3,НИШЕВЫЕ РАЙОНЫ,1,Московский район,4655.63,-27.6950401575153,163332,23.025703794369644,340187,0.776,5479.555,СРЕДНЯЯ,164986.0,ВЫСОКАЯ,НИШЕВЫЕ РАЙОНЫ
3,НИШЕВЫЕ РАЙОНЫ,2,Приморский район,6303.48,-2.102858631827398,166640,25.51737124564542,692753,0.834,5479.555,СРЕДНЯЯ,164986.0,ВЫСОКАЯ,НИШЕВЫЕ РАЙОНЫ
4,НИШЕВЫЕ РАЙОНЫ,1,Петроградский район,5987.87,-7.0044870636156995,154086,16.061387816589775,117003,0.946,5987.87,СРЕДНЯЯ,154086.0,ВЫСОКАЯ,НИШЕВЫЕ РАЙОНЫ
