Населенный_пункт,Мужчины_Женщины,Мужчины,Женщины,Зарплата,Площадь района(км2)
Адмиралтейский район,158253,71702,86551,134590,13.82
Василеостровский район,209733,94259,115474,148492,16.70
Выборгский район,533808,239255,294553,131990,115.52
Калининский район,546908,245218,301690,145695,40.18
Кировский район,339946,154858,185088,129717,47.46
Колпинский район,183947,82693,101254,125218,102.25
Красногвардейский район,369347,163553,205794,126337,56.35
Красносельский район,426372,190072,236300,108531,90.49
Кронштадтский район,44399,20968,23431,108831,19.53
Курортный район,82713,38881,43832,118117,268.19
Московский район,340187,148600,191587,163332,73.07
Невский район,546475,245845,300630,120834,60.66
Петроградский район,117003,56866,60137,154086,19.54
Петродворцовый район,134018,62567,71451,117752,107.08
Приморский район,692753,315024,377729,166640,109.90
Пушкинский район,255609,119490,136119,110107,240
Фрунзенский район,416570,184672,231898,119480,37.52
Центральный район,203870,91203,112667,159976,17.77
